username,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,locals_vs_diaspora,person_vs_organization,iteration_added
6njeli,اونجلیناجیلی,ماه پشت ابر نمیمونه تو خوب بمون، بلاخره آدم بدا یه جا رسوا میشن,İstanbul-Turkey,,164.0,5593.0,September 2018,0,2,1,1
abtc,American Bitcoin,Nasdaq: ABTC | Building America's Bitcoin infrastructure backbone,USA,,6.0,374.0,March 2025,0,2,0,1
afintl_,Afghanistan International - افغانستان اینترنشنال,اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان The First 24/7 International News Channel for Afghanistan,"UK, London",,8.0,8.0,August 2021,0,2,2,1
abwmhdy75844,سجاد ابو مهدي,,,0.0,70.0,0.0,September 2025,2,2,2,1
a_soleimani_f,عارفه سلیمانی,خبرنگار,,14.0,93.0,27.0,May 2023,1,2,1,1
abdelmonim68330,Abdelmonim Elgak,,,0.0,15.0,1.0,November 2025,2,2,2,1
al_sharifzadeh,علی شریف زاده اردکانی,وكيل پایه یک دادگستری ،مدرس دانشگاه و عضو کانون وکلای مرکز,Tehran,4540.0,367.0,847.0,March 2020,1,1,1,1
alireza__ziyaei,Alireza Ziaee,,,0.0,45.0,0.0,December 2025,2,2,2,1
abdulzahraa_,عبدالزهراء عبدالحسين,Earnestly striving to achieve the honour of becoming one of the sincere slaves of Sayeda Fatima al-Zahraa (as).,جنة الخدام بين الحرمين,2430.0,366.0,5896.0,May 2019,0,2,1,1
0l8o0xgtjkorcjb,SaraThoreau,,,127.0,4554.0,0.0,September 2023,2,2,2,1
0pps__,Think,"@_Alignments ,",,22.0,159.0,18.0,August 2024,2,2,2,1
ajturk,Al Jazeera Türk,"Haber, analiz, görüş yazıları, belgeseller. Son dakika haberler ve canlı anlatım adresi:  @AJTCanli . İletişim için:  @AlJazeeraTurk .","Istanbul, Türkiye",,7.0,1357.0,January 2011,0,2,0,1
ahllam_music,ahllam,artist,,6758.0,2.0,45.0,September 2022,0,2,0,1
a_alirezabeigi,احمد علیرضابیگی,نماینده دوره دهم و یازدهم مردم تبریز، اسکو و آذرشهر در مجلس شورای اسلامی|استاندار اسبق آذربایجان شرقی t.me/ahmadalirezabe …,Islamic Republic of Iran,3823.0,30.0,427.0,December 2019,2,2,2,1
agakeruka71284,あがけるか,,,100.0,3464.0,0.0,September 2023,2,2,0,1
ahahistorians,American Historical Association,The American Historical Association is the largest professional organization serving historians in all fields and all professions.  historians.org/join,"Washington, D.C.",,2335.0,1311.0,September 2009,0,2,0,1
acrvir,acrvir,,,0.0,42.0,1.0,February 2021,2,2,2,1
abu_al_askary,ابو علي العسكري,المسؤول الأمني لكتائب حزب الله في العراق,Iraq,2697.0,0.0,4.0,August 2023,2,2,2,1
alietamedia,علی اعطا,‌کارشناسی‌ارشد پیوسته و دکتری معماری | عضو هیئت رییسه و سخنگوی شورای پنجم تهران | معمار | روزنامه‌نگار,Tehran,,1202.0,4615.0,October 2016,1,1,1,1
ajarabic,قناة الجزيرة,الجزيرة.. الرأي والرأي الآخر.. تابع أخبارنا العاجلة على  @AJABreaking,Qatar,,26.0,1349.0,April 2007,0,2,0,1
advisorbecki,"Rebecca Iacopelli, CFP®, MT","Helping women control and maximize their wealth  Senior Advisor at Barron’s Top 25 Firm  CFP®, Masters in Taxation  CFA Level III Candidate","Philadelphia, PA",10.0,27.0,56.0,June 2025,2,2,2,1
a2bdullah_,Abdullah_AL lime,,,0.0,13.0,0.0,December 2025,2,2,2,1
50uses,50 Uses For The Word Love Podcast,Comedian  @StephenTrumble  invites guests to chat about the varied multitudes of human feeling that in English all fall under the one umbrella term; Love.,"London, England",489.0,2753.0,396.0,January 2019,0,2,0,1
a8484aviv,אביב AVIV 🇮🇱,LIVE AND LET LIVE,ישראל,3028.0,7496.0,,June 2014,0,2,0,1
_starboy369,Starboy ⭐️,《دنیا همه هیچ و اهل دنیا همه هیچ، ای هیچ برای هیچ بر هیچ مپیچ》,Iran ☼𓃬,806.0,5214.0,3509.0,July 2022,1,1,1,1
aliam_es,ایی اِس,صبر   instagram.com/ecutfood/profi …,,4324.0,4447.0,1334.0,November 2021,1,2,1,1
_infogirl,🌻hopeful wanderer🌻,"books, music, travel, nature, art",,59.0,665.0,290.0,November 2021,0,2,1,1
akumafeelings,👹 AKUMA 👹,"eu minto muito bastante   (⁠◕⁠ᴗ⁠◕⁠✿⁠) mutual pra mim é irmã    ele/dele  filho do silêncio, da doença e da cura","Salvador, Brasil",5372.0,4139.0,1386.0,October 2016,0,2,1,1
alfirinmag52045,Magol Alfirin,I AM ...,,1.0,30.0,0.0,December 2025,2,2,2,1
aiyankarimi3312,A_K70,"When you are there, all doors open.",کرمانشاه,55.0,394.0,1300.0,April 2025,1,1,1,1
alivrd,Ali Vafaei Razdar,,,0.0,2.0,0.0,August 2025,0,2,1,1
alishiri272750,Ali Shiri,,tehran,0.0,5.0,0.0,July 2025,1,2,1,1
al3mlaa81,د/العملاق,د / العملاق ..,,,167.0,1386.0,November 2012,2,2,1,1
aishaabbas20560,Abbass Aisha,,,59.0,703.0,0.0,March 2025,0,2,1,1
abhistoria,Ahab Bdaiwi איהאבּ ܐܝܗܐܒ,"Assistant Professor in Islamic Philosophy & History, Leiden University| Series Editor, Islamic Thought & History| Editor in Chief, Taḥqīq Journal, Brill.",Leiden/London,,937.0,4281.0,July 2017,0,2,1,1
_dinken_,Ajmal Hussain A,It’s okay to get run over by a bus than never cross the road. I’m at least getting somewhere. Views and Opinions expressed are personal.,"Kollam, India",379.0,529.0,961.0,November 2012,0,2,1,1
alijan2056,Ali,,,8.0,73.0,4.0,November 2014,2,2,2,1
addyperry20,LilyPerry,Okay but... I’m kinda close to stunning?  Come say hi in DMs.,where the vibes are,510.0,3722.0,1567.0,May 2025,2,2,2,1
_uselessgothdm,Definitely Not a Mimic,@ useless_goth_thembo_ in Twitch chat | Avantris brainrot still going strong | D&D/RPG/TTRPG things | Maker and collector of many math rocks (dice) |,,19.0,124.0,36.0,June 2020,2,2,1,1
ahmad76905530,ahmad,,,40.0,706.0,8.0,January 2023,2,2,2,1
am2002rmost,Amir,,,14.0,252.0,0.0,March 2023,2,2,2,1
_nam11,Nathan,"@charltonlive  contributor  | Certified in  @FA  Talent ID &  @ThePFSA  Data Analytics, Oppo Scouting & Set-Pieces  | Living the dream",,4887.0,2796.0,,May 2010,0,2,0,1
afkari_saeed,سعید افکاری,آزادی,,,78.0,1273.0,August 2020,2,2,1,1
aliceparkny,Alice Park,"Health and medicine (and occasional Olympics) national correspondent for  @TIME . Author of The Stem Cell Hope, How Stem Cell Medicine Can Change Our Lives.",New York NY,,469.0,4818.0,March 2009,0,2,1,1
abkoga,A.B. Koga,SFF Author on Submission | Agent  @BookFairyAngus  | Doctor Husband and Dance Dad | Jiu Jitsu | Retired Gamer | Dark Academia WIP,Scottsdale,643.0,633.0,1953.0,September 2022,0,2,1,1
_sgtslaughter,SGT SLAUGHTER,"WWE Hall of Famer, WWE Ambassador & former World Heavyweight Champion. For bookings contact PVT Paul Incerto @ 203-256-0004.",,,107.0,6124.0,September 2010,0,2,1,1
aleaguewomen,Ninja A-League,"Official account of the Ninja A-League  Catch live game coverage, as well as news, ticketing and so much more here.",Australia,,2092.0,1356.0,August 2012,0,2,0,1
_hannahritchie,Hannah Ritchie,Deputy Editor  @OurWorldinData  / Researcher at  @UniofOxford  / Honorary Fellow at  @EdinburghUni  @EdCentreCC  / Not the End of the World:  amzn.to/3MdaOci,"Edinburgh, UK",,1337.0,7978.0,July 2014,0,2,1,1
afterpay_au,Afterpay,Don’t just pay later. #PayBetter Afterpay it in 4.,Australia,5939.0,521.0,964.0,July 2014,0,2,0,1
_sky_tw,spinoss,,,1.0,19.0,0.0,January 2023,2,2,2,1
adnanime,Animation Digital Network,"Evangelion, Utena, Sailor Moon... c'est Noël avant l'heure",Paris,,676.0,1315.0,September 2013,2,2,1,1
ahwazmedia,حسن راضي الأحوازي,مدير المركز الأحوازي للإعلام والدراسات الإستراتيجية/ باحث بالشان الايراني، معد ومقدم برنامج #ايران_زووم على قناة @سعودي24.. #الأحواز وطني,,5884.0,415.0,8467.0,April 2012,0,2,1,1
allipayam,Hani Allipayam,,,36.0,19.0,1.0,November 2017,2,2,2,1
ajbends,big boy synthetique,@issues  //  @badwolves  // FEWDFWM //,"Pasadena, CA",,1286.0,1350.0,December 2011,0,2,1,1
alisaberi1987,Alex,All religions are human made. Be free of them. Keep your humanity up and spread out kindness.,"Paris, France",469.0,1634.0,633.0,October 2021,0,2,1,1
altaf_awan12,Altaf K Awan,"Consultant Pancreaticobiliary, Obesity, Laparoscopic and Robotic Surgeon, UHDBTrust. Director of Education - Laparoscopic & Robotic surgery, ALSGBI.","Derby, England",1054.0,451.0,1803.0,November 2018,0,2,1,1
aliansari84,Ali Ansari,"Ph.D. graduate in Materials Science and Engineering, Interested in batteriesand electrochemistry, Posts in Persian and in English, Notifications are off.","Prague, Czech Republic",742.0,1928.0,1334.0,December 2013,0,2,1,1
alimotie1318,Parsi,"lran, land of Aryans and Everlasting Kingdom",,160.0,753.0,4588.0,June 2025,2,2,2,1
aesdigitallyart,Aes Digitally Art Prints,"Greetings! I'm Serdar. I'm the founder of this small shop, born from the question: 'Why shouldn't everyone have easy access to striking art pieces?",Turkey,29.0,333.0,32.0,November 2025,2,2,0,1
5thprisoner,زندانی پنجم,پیش ما بیا خوش میگذره,,6351.0,265.0,,July 2016,2,2,1,1
ali_koleini,paper_jean,,Islamic Republic of Iran,89.0,0.0,339.0,June 2020,2,2,2,1
ahmadrezae88890,ahmadreza emz,,,8.0,4.0,58.0,June 2024,2,2,2,1
_articlle_,お父さん,はむさんはこちら  @hamuppi_,,8556.0,803.0,780.0,August 2018,2,2,2,1
1dish4theroad,Aaron Vallance,'Friday Night Chicken' - due 2027!  Shortlisted for Jane Grigson Trust award 2025. My blog (shortlisted Guild Food Writers award '20 '21 '23).,"London, England",5435.0,3587.0,2327.0,May 2016,0,2,1,1
alexvizorek,Alex Vizorek,"Humoriste belge...(c'est déjà drôle comme locution, je crois) Sur scène surtout, sur  @RTLFrance  et  @telematin  parfois, ailleurs occasionnellement.",,,2657.0,1381.0,January 2010,0,2,1,1
aicalliance_,AICA - Australian Iranian Community Alliance,Group of passionate Iranian Australians committed to shedding light on the glaring violations of fundamental human rights perpetrated by the Islamic Republic.,Australia,80.0,67.0,272.0,June 2023,1,0,0,1
ahlulbayt28,خادمة الحُسين💚⚑,-أشهَدُ أنَ علياً وَليُ الله . -نِذَرت لخِدمَة حسين عمري . -السَلامُ على آلِ بَيتِ رَسولِ الله . -السَلامُ عَليكَ يا أبا عبدِالله الحُسَين.,حَيثُ الحُسَين وَ العَبَاس,,276.0,1318.0,July 2020,2,2,2,1
30nahejazi,Sina Hejazi,Iranian singer,Islamic Republic of Iran,4400.0,16.0,297.0,April 2013,0,2,2,1
abdulsalamdoct,محمد المعمري,يمني يبحث عن وطن.!,اليمن,6.0,118.0,253.0,June 2025,2,2,2,1
ajplus,AJ+,"AJ+ is a unique digital news and storytelling project promoting human rights and equality, holding power to account, and amplifying the voices of the powerless.","Washington, DC",,247.0,1357.0,February 2010,0,2,0,1
110_m_ah_b,A.B.110,,,0.0,7.0,3.0,October 2024,2,2,2,1
32kennocha,Isis,Every moment is a fresh beginning.,"Buffalo, NY.",345.0,472.0,458.0,June 2013,2,2,2,1
abc7ny,Eyewitness News,"New York's #1 news, Channel 7 Eyewitness News. WABC-TV. Comments & photos shared here or using #abc7NY could be used on any ABC platforms.",New York City,,725.0,6158.0,October 2008,0,2,1,1
alexerventure,alexerventure,Entrepreneur,,446.0,6254.0,932.0,March 2008,0,2,2,1
agencecapa,CAPA,"Témoigner, décrypter, faire rêver, inventer : depuis plus de 30 ans, CAPA raconte le monde... avec un pas de côté. #CAPApresse #CAPAdrama  @CAPAcorporate","Paris, France",7920.0,612.0,5264.0,August 2009,0,2,0,1
_rosemark,Wolfy,So Vrémant po Nice,,8.0,127.0,482.0,December 2019,2,2,2,1
alanwake,Alan Wake 2,"Alan Wake 2 out now on the Epic Games Store, PS5, and Xbox Series X|S. By  @remedygames , presented by  @EpicPublishing . Alan Wake Remastered available now.",Bright Falls,,16.0,1465.0,March 2009,0,2,0,1
alcides,Alcides Fonseca,Typing types. Associate Professor at the University of Lisbon.,"Lisbon, Portugal",1893.0,2921.0,2203.0,April 2007,0,2,1,1
aliaref_,ali aref 🇮🇷,ما سر به سر فدایی دین محمدیم...ما را حسین خواند و به این لشکر آمدیم,,508.0,646.0,1334.0,April 2024,1,2,1,1
afghanlgbt,Afghan LGBT Organization (ALO),The first official organization for Afghan #LGBTQ+ people based in Czech Republic,Česká republika & Afghanistan,1190.0,401.0,216.0,June 2020,0,2,0,1
abasinfo,Abas Aslani | عباس اصلانی,عباس اصلانی | صفحه فارسی |خبرنگار و پژوهشگر در حوزه سیاست خارجی و بین‌الملل   | صفحه انگلیسی (English account):  @AbasAslani,تهران,1213.0,505.0,2528.0,July 2016,1,1,1,1
almghdmi,Ali,"Developer, Gamer",,119.0,235.0,,April 2022,0,2,1,1
abdolrezakahani,Abdolreza Kahani,"Writer,Director,Producer //  agiff.arkgate.ca",,,299.0,247.0,June 2014,0,2,1,1
alanciwanc41267,alanciwan ciwan,,,33.0,2281.0,1.0,January 2025,2,2,2,1
alexanderm18395,Alexander McPhail,"He/him. Twin  Woke is an informal adjective that means being aware of and attentive to important issues, especially social and racial injustice.",,552.0,1816.0,1376.0,June 2023,0,2,1,2
2447mo1789,Mo,À quoi bon tweeter encore ?  @i24NEWS_FR,מארה נוסטרום,1177.0,5324.0,29.0,October 2023,0,2,2,2
abhaddadii,Haddadi,t.me/abolfazlhaddadi,,0.0,415.0,3931.0,January 2022,1,2,1,2
abdulndadi,Abdul Ndadi,I'm a writer and artist of Ghanaian descent living in NYC,,84.0,880.0,2226.0,April 2020,0,2,1,2
abdelra07745930,عبدالرزاق الحيالي,منشق من منظمة بدر وصاحب قناة على اليوتيوب ( قناة الأسير العراقي )  youtube.com/channel/UCbIAj …,,0.0,2406.0,1793.0,September 2020,0,2,1,2
3303losangelesr,3303losangelesr,.....,"Sanfrancisco , Texas",7.0,917.0,3249.0,January 2024,2,2,2,2
aghajanii76m,aghajanii76m,teaching physics is so interesting!,wherever GOD wants...,1431.0,6575.0,81.0,November 2022,1,2,1,2
afshin_46,Afshin,نام من سید محمد حاجی سید جوادی است و مسئولیت حقوقی  نوشته هایم بر عهده من است.  #جمهوری‌خواه  #سوسیال‌دموکرات,,1318.0,2948.0,0.0,July 2021,1,2,1,2
afkham_minus,Afkham III,Another pezzonovante,,2896.0,227.0,3243.0,October 2022,1,2,1,2
_rezinski,رضینسکی,واسه چشم آفته و واسه گل زینته خار,,231.0,106.0,5925.0,November 2021,1,2,1,2
09escargot1012,クラウス32,楽天イーグルス、AS Roma、Galatasaray 、國學院大學と京都産業大学(駅伝)を応援しています。アマガミ等ラブコメについて話すことも多いです。よろしくお願いします(スパム垢は全て24＆ブロックします),,1646.0,5841.0,0.0,October 2019,0,2,2,2
absmadridista,مدريدي,ريال مدريد هو نادي حياتي هلا مدريد,,144.0,1434.0,1580.0,February 2022,0,2,2,2
9122432itw,Amara,"Für Freiheit und Völkerrecht. Frieden wird nicht durch Krieg erreicht. Fokus auf das, was uns verbindet. Gegen Spaltung.",,304.0,396.0,3321.0,October 2022,0,2,2,2
20lincoln20,tohid2001,جمهوری خواه-سکولار دموکرات,,4085.0,4396.0,2456.0,September 2020,0,2,2,2
alirezaroashan,علیرضا روشن,مفتخور و بیکار و بیعار,,0.0,1286.0,1155.0,October 2016,2,2,2,2
alexeygorboot,Alexey Gorboot,"Cartoonist, comic book artist. Much love to the classical comics. Contact me for commissions.",,0.0,242.0,2237.0,April 2020,0,2,2,2
adresansoso,Lili Adresan🌺🇫🇷,"Je suis un clone d'humoriste iel non-binaire, non genré. Suivez moi pour de nouvelles aventures. #PoilAGratterPolitique #Parodique #Satirique",,0.0,24.0,1315.0,January 2021,0,2,2,2
alirezaami58678,علیرضاامیری☫,متحیرم‌چه‌نامم شَه‌مُلک‌لافتی‌را,Nakoja Abad,1236.0,1994.0,1569.0,August 2024,1,1,1,2
abdul_samad_pti,Abdul Samad,"As a fervent supporter of PTI, I passionately advocate for its vision of a corruption-free and prosperous Pakistan under Imran Khan's leadership.",,1070.0,258.0,1409.0,March 2024,0,2,2,2
ajik38933950,Ajik,palestine free is a must !!!,,6.0,145.0,4469.0,October 2019,0,2,2,2
ahrari_maryam,Maryam Ahrari,every sunset is a sunrise....,,481.0,1013.0,5876.0,October 2022,2,2,2,2
aibuzznews,Patrick's AIBuzzNews,Dive into AI with daily insights!  Trending AI news  IT-Specialist at  @desy  Join our tribe!  DM for collab,,0.0,582.0,1348.0,May 2023,0,2,1,2
ahlebeytmedia,اهل بیت مدیا,کاملترین و به‌روزترین رسانه تخصصی، در حوزه اهل بیت,,0.0,65.0,2096.0,July 2020,1,1,1,2
1meshmo,Mehdi.Sharifi.Mo.,,ایران,107.0,550.0,1311.0,March 2015,1,1,1,2
ahmedsamehcccpa,Ahmed KHALIL,tweets or likes are my reading list not endorsements,"Cairo, Egypt",69.0,675.0,1765.0,October 2023,0,2,1,2
a_abothman,abothman ahwazi,أحوازي يؤمن بتحرير الوطن والإنسان,,418.0,1060.0,1512.0,December 2021,0,2,1,2
alamsooz,رند عالم سوز Rende-Alamsooz,US Politics Canadian Politics Canadian Politics,,48.0,182.0,1513.0,May 2018,0,2,1,2
_bonos_,🌟,,,40.0,7500.0,0.0,November 2022,2,2,2,2
20rapcom,20RAP.com,رسانه‌ی مستقل هیپ‌هاپ/رپ فارسی، تاسیس ۱۳۸۸,Iran,0.0,13.0,5214.0,March 2011,1,1,0,2
aghamiri_hosein,سیدحسین آقامیری,تو که یک گوشه ی چشمت غم عالم ببرد،                                 حیف باشد که تو باشی و مرا غم ببرد,,0.0,161.0,523.0,August 2017,1,1,1,2
ajnlive,Alex Jones Network,Follow for exclusive news + reports from Alex Jones & others. Support:  TheAlexJonesStore.com &  fightforalex.com   @alexjonesstore,,0.0,118.0,1348.0,September 2024,0,2,0,2
agencythebook,Agency The Book,By  @rickwebb . Published by  @palgraveUSA .,,104.0,23.0,92.0,June 2014,0,2,0,2
aarnapatel68,Aarna Patel 🦋,"As a financial analyst & representative at Stratos Finance Ltd, I believe the right connections build strong finances. If we become friends, it’s not just frien",Jakarta Indonesia,465.0,7165.0,35.0,June 2025,0,2,0,2
adelzarandi,Adel,,Iran,175.0,639.0,168.0,August 2011,1,1,2,2
adorno_persian,آدورنو,«آزادی، انتخاب بين سفيد و سياه نيست، دقيقا نفی اين انتخاب تحميلی است»,Negative Utopia,0.0,8.0,1315.0,February 2023,1,0,1,2
actorssum,Actors Summit,"The World’s Largest Online Actors Event Presented by  @actingandvoice   May 20-22, 2022  150+ Speakers  Celebrities  100% Online Tickets",,1129.0,1018.0,54.0,November 2021,0,2,0,2
aj_torgheh,Amin Jamshidi,بچه که بودم دوست داشتم فضانورد بشم... بیشترعکاس آسمان شب‌ام. ولی قبل از اینکه از زیبایی‌های آسمون لذت ببریم، یه زمین برای زیستن و یه وطن برای زندگی لازم داریم,,503.0,410.0,1290.0,March 2021,1,2,1,2
al_bayynat,شبكة البينات الثقافية,الحساب الاحتياطي |  @Al_Bayynat2,Yemen,0.0,1.0,2377.0,July 2024,2,2,2,2
ahmedmohammed,Ahmed bin Mohammed,"النائب الثاني لحاكم دبي، رئيس مجلس دبي للإعلام   Second Deputy Ruler of Dubai, Chairman of the Dubai Media Council",,0.0,22.0,654.0,January 2020,0,2,1,2
aghachurchill,AghaChurchill | The Anti-Left,"Fighting Marxist-Islamist threats to humanity, safety, and the entirety of human  life!",,5167.0,990.0,1303.0,July 2021,1,1,1,2
adamczarni22933,Adam Czarniecki,"There are bright stars in this universe, each shines with unique light, here a faint flame glows with tender sheen, fragile and vulnerable, yet gentle caress","Lesser Poland, Poland",35.0,189.0,7.0,November 2023,0,2,1,2
alihgh1393,"Z,Z,A,R_H,C,H,",رهرو استاد ارژنگ داوودی،مردی که مقابل آزادی ایران و ایرانی ایستادگی کرد و سر خم نکرد.امید است با زحماتی که کشید تلاش کنیم هر ایرانی وطن پرست یک ارژنگ باشد.,,74.0,153.0,226.0,June 2023,1,1,0,2
aldesjonqueres,Anne-Laure Desjonquères,Consule Générale de France à Atlanta Consul General of France in Atlanta Follow  @FranceAtlanta,"Atlanta, GA",375.0,220.0,256.0,August 2022,0,2,1,2
adakuskowski,Ada Kuskowski,"Medievalist, legal historian, French historian  @Penn . Author of Vernacular Law: The Reinvention of Customary Law in Medieval France (Cambridge, 2023)",,362.0,480.0,303.0,September 2022,2,2,2,2
abd_ir1,abd ir,,Iran,1.0,667.0,0.0,July 2020,1,1,2,2
4zk79e91ywvxni2,Мадина,Халық ушін болашақ үшін аянбай еңбек етем!,Kazakhstan,11.0,118.0,18.0,March 2019,0,2,1,2
acpreventiontdl,The Alliance for the Prevention of Atrocity Crimes,Empowering civil society to create change after atrocity.   Email us: preventingac@thedutylegacy.org.uk,"England, United Kingdom",296.0,462.0,546.0,March 2024,0,2,0,2
aalbahrayn5356,زعيم اسيا عشق سنين الطفولة,هلالي هلال السعادة  نادي السعادة,,134.0,1392.0,444.0,April 2023,2,2,2,2
aliturk43880,Ayigh Turk,,,187.0,1408.0,3653.0,April 2025,2,2,2,2
alrob844287,Rob,I never reply to DMs and delete them unread.,"Texas, USA",346.0,2133.0,587.0,November 2024,2,2,2,2
abasiabbassi,Shahram Abbassi,استاد سابق دانشگاه فردوسی# استاد مدعو در دانشگاه وسترن کانادا,,516.0,369.0,241.0,April 2015,1,2,1,2
aliidaeii,Ali Daei,,Tehran,0.0,3.0,64.0,April 2022,1,1,1,2
319u9xc85rz97,KatherineRalph,,,67.0,7339.0,0.0,March 2024,2,2,2,2
aaronoff7,Aaron Off,,,14.0,6.0,3112.0,September 2022,2,2,2,2
alimarouf153082,Ali,,,241.0,3122.0,2584.0,December 2024,2,2,2,2
105_sakariyou,Sakariyou_105,باغیرتان ایران همراه با قیام‌سپید ب رهبری دکترسایان برای پایان دادن به حکومت خامنه‌ای نامرد   پیام دهید به,,100.0,428.0,271.0,October 2021,1,1,1,2
airdropcomet,Airdrop Comet | DeFi,Stay Up-To-Date About Crypto Airdrops With Airdrop Comet  Contact:  t.me/AirdropCometAd …,DeFi,0.0,3.0,126.0,November 2021,0,2,0,2
agathaallweek,Agatha All Along Week,"a week-long celebration of Agatha All Along fan works taking place 18-25th of May  organised by  @fixyfics  &  @derpswan , art by  @evgar_",,2931.0,5.0,1548.0,February 2025,0,2,0,2
akguitarman49,john kelly,"This is my music page, guitar and guitar shit related... more or less insane...... than my original profile  @johnkelly720 ......","anchorage, Alaska",9.0,349.0,660.0,December 2025,0,2,1,2
aaction414,dominika janik,innovationtechinvest.com the best platform where you can be making steady income from bitcoin       build your own empire so that you will grow,Poland,700.0,7498.0,553.0,October 2024,2,2,2,2
abdolhamidnetar,فضيلة الشيخ عبد الحميد إسماعيل زهي,خطيب أهل السنة ورئيس جامعة دار العلوم بمدينة زاهدان، ورئيس منظمة اتحاد المدارس الدينية لأهل السنة بمحافظة سيستان وبلوشستان - إيران,Iran,3445.0,2.0,379.0,January 2021,1,1,1,2
_scandalou_,SCANDALOU,,France,43.0,299.0,541.0,August 2022,0,2,1,2
alimokhtari102,Ali Mokhtari,Almost Architect. بندهء چای(به جز چای کیسه‌ای.),,82.0,148.0,1401.0,April 2021,2,2,2,2
abinelcv,Clive CV Abinel,,,95.0,299.0,2096.0,August 2020,2,2,2,2
abusamiyildiz,Murat C. Yıldız مراد جهان ييلديز,"Historian of sports and intercommunality in the late Ottoman Empire | Associate Professor  @SkidmoreCollege   | ""The Ottoman World of Sports""  @UTexasPress","Niskayuna, NY",234.0,2781.0,31.0,July 2024,0,2,1,2
61pari93357,wind carry us?,خانه دار بی ادعا,,48.0,681.0,308.0,October 2025,1,1,1,2
2_rebelgirl,Rebel girl,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,,1399.0,1004.0,9779.0,February 2025,1,1,1,2
aliyuhy00700404,Aliyu Hydar,To have is better than knowing how to use,"Kado, Nigeria",170.0,1575.0,149.0,February 2022,0,2,1,2
ahmadnoorollahi,Ahmad Noorollahi,,,0.0,17.0,15.0,October 2016,0,2,1,2
_amiir_75,amiir,just be real,istanbull,140.0,1333.0,1337.0,July 2024,0,2,1,2
afrasyabia,Afrasyabi.alireza,کارشناس مکانیک طراح قطعات  متخصص در زمینه خودرو,ahwaz,36.0,322.0,137.0,October 2018,1,1,1,2
alhassanhu41917,Alhassan Hussaini,"""Proud Nigerian Technologist  | GIS Expert @ MAU | I love humanity  | Elon Musk is my hero & motive  | Building the future with innovation & heart""",,37.0,604.0,158.0,May 2024,0,2,1,2
alldoaa110,الدعاء / prayer,مقاطع من الأدعية المأثورة عن النبي و آله عليهم السلام Selections of Supplications by the Holy Household,,686.0,2.0,698.0,July 2020,2,2,2,2
_zelenska_,Zelenska,a linguist,United Kingdom,21.0,309.0,746.0,March 2020,0,2,1,2
abdolhamid_net,Mawlana Abdol-Hamid,"Official English Account of  Pres. of Darululoom Zahedan, Iran;  Friday Imam of Sunnis in Zahedan; Member of the Supreme Council of the MWL.","Zahedan, Iran",4410.0,2.0,922.0,May 2020,1,1,1,2
abdullah9th,Md Masum,,,18.0,940.0,2.0,August 2017,0,2,1,2
